Date,Open,High,Low,Close,Volume,Market Cap,MSTR Stock,PYPL_Stock,BDT_Stock
2020-09-27,10746.89,10803.98,10622.92,10775.27,53745972818,1.99E+11,146.13,192.02,5860
2020-09-28,10776.61,10945.35,10703.89,10709.65,47762394731,1.98E+11,151.46,192.02,5810
2020-09-29,10709.65,10860,10649.5,10844.64,46582396602,2.01E+11,149.69,194.5,5850
2020-09-30,10843.87,10847.26,10669.32,10784.49,44171073700,2.00E+11,150.56,197.03,5850
2020-10-01,10795.25,10933.62,10472.36,10619.45,40023134100,1.97E+11,148.96,196.94,5850
2020-10-02,10619.82,10657.84,10416.69,10575.98,48661453918,1.96E+11,146.46,191.91,5850
2020-10-03,10575.1,10598.94,10511.13,10549.33,44660271563,1.95E+11,146.46,196.85,5850
2020-10-04,10550.44,10686,10534.39,10669.58,71251776995,1.97E+11,146.46,196.85,5850
2020-10-05,10676.53,10793.51,10634.6,10793.34,47537578009,2.00E+11,148.21,196.85,5800
2020-10-06,10796.31,10797.58,10528.89,10604.41,42623695307,1.96E+11,150.04,191.66,5870
2020-10-07,10603.36,10680.51,10562.51,10668.97,37799458436,1.97E+11,153.09,194.61,5940
2020-10-08,10669.37,10945.74,10562.61,10915.69,63314794397,2.02E+11,163.94,193.06,5920
2020-10-09,10927.91,11102.67,10846.85,11064.46,22799117613,2.05E+11,164.73,197.27,5920
2020-10-10,11059.14,11442.21,11056.94,11296.36,22877978588,2.09E+11,164.73,201.51,5920
2020-10-11,11296.08,11428.81,11288.63,11384.18,19968627060,2.11E+11,164.73,201.51,5920
2020-10-12,11392.64,11698.47,11240.69,11555.36,26163972642,2.14E+11,166.46,201.51,6080
2020-10-13,11548.72,11548.98,11321.22,11425.9,24241420251,2.12E+11,166.08,207.74,6100
2020-10-14,11429.05,11539.98,11307.83,11429.51,24103426719,2.12E+11,164.24,203.6,6080
2020-10-15,11426.6,11569.91,11303.6,11495.35,24487233058,2.13E+11,165.97,203.14,5940
2020-10-16,11502.83,11540.06,11223.01,11322.12,25635480772,2.10E+11,164.7,204.45,5990
2020-10-17,11322.12,11386.26,11285.35,11358.1,19130430174,2.10E+11,164.7,200.06,5990
2020-10-18,11355.98,11483.36,11347.58,11483.36,18283314340,2.13E+11,164.7,200.06,5990
2020-10-19,11495.04,11799.09,11408.29,11742.04,23860769928,2.17E+11,164.14,200.06,6060
2020-10-20,11745.97,11999.92,11681.48,11916.34,30915821592,2.21E+11,169.07,201.96,5990
2020-10-21,11913.08,13184.57,11900.93,12823.69,43414712626,2.38E+11,181.05,213.07,6040
2020-10-22,12801.64,13161.59,12717.09,12965.89,34729759598,2.40E+11,183.05,203.93,7080
2020-10-23,12971.55,13015.96,12752.65,12931.54,28974975003,2.40E+11,184.3,203.04,6790
2020-10-24,12931.57,13145.07,12885.75,13108.06,24542317940,2.43E+11,184.3,197.22,6790
2020-10-25,13108.06,13329.18,12910.06,13031.17,24406920575,2.41E+11,184.3,197.22,6790
2020-10-26,13031.2,13225.3,12822.38,13075.25,29461458313,2.42E+11,175,197.22,6330
2020-10-27,13075.24,13759.67,13060.84,13654.22,33749878156,2.53E+11,175.58,200.43,6220
2020-10-28,13654.21,13837.7,12932.25,13271.29,35867318895,2.46E+11,162.15,192.31,6620
2020-10-29,13271.3,13612.05,12980.06,13437.88,56499499598,2.49E+11,161.96,195.04,6460
2020-10-30,13437.87,13651.52,13136.2,13546.52,30581485201,2.51E+11,167.07,186.13,6360
2020-10-31,13546.53,14028.21,13457.53,13780.99,30306464719,2.55E+11,167.07,187.76,6360
2020-11-01,13780.99,13862.03,13628.38,13737.11,24453857900,2.55E+11,167.07,187.76,6360
2020-11-02,13737.03,13808.32,13243.16,13550.49,30771455468,2.51E+11,166.57,187.76,6870
2020-11-03,13550.45,13984.98,13325.44,13950.3,29869951617,2.59E+11,171.95,179.81,6720
2020-11-04,13950.49,14218.77,13580.47,14133.71,35116364962,2.62E+11,172.53,194.29,6730
2020-11-05,14133.73,15706.4,14102.09,15579.85,40856321439,2.89E+11,181.68,204.56,7230
2020-11-06,15579.73,15903.44,15226.84,15565.88,39837841971,2.89E+11,185.62,202.73,7580
2020-11-07,15565.88,15737.1,14423.2,14833.75,35024953706,2.75E+11,185.62,184.72,7580
2020-11-08,14833.75,15637.32,14744.11,15479.57,26632075029,2.87E+11,185.62,184.72,7580
2020-11-09,15479.6,15785.14,14865.53,15332.32,34149115566,2.84E+11,185.01,184.72,7250
2020-11-10,15332.35,15450.33,15124.96,15290.9,25574938143,2.83E+11,186.14,183.36,7230
2020-11-11,15290.91,15916.26,15290.01,15701.34,29772374934,2.91E+11,192.16,192.34,6930
2020-11-12,15701.3,16305,15534.77,16276.34,34175758344,3.02E+11,186.94,189.1,6900
2020-11-13,16276.44,16463.18,15992.15,16317.81,31599492172,3.03E+11,192.27,188.62,6870
2020-11-14,16317.81,16317.81,15749.19,16068.14,27481710135,2.98E+11,192.27,191.94,6870
2020-11-15,16068.14,16123.11,15793.53,15955.59,23653867583,2.96E+11,192.27,191.94,6870
2020-11-16,15955.58,16816.18,15880.71,16716.11,31526766675,3.10E+11,203.93,191.94,6740
2020-11-17,16685.69,17782.92,16564.54,17645.41,39006849170,3.27E+11,208.2,192.3,7020
2020-11-18,17645.19,18393.95,17352.91,17804.01,49064800278,3.30E+11,212.96,190.12,7720
2020-11-19,17803.86,18119.55,17382.55,17817.09,36985055355,3.30E+11,217.11,190.9,8030
2020-11-20,17817.08,18773.23,17765.8,18621.31,36992873940,3.45E+11,222.11,192.67,7810
2020-11-21,18621.32,18936.62,18444.36,18642.23,39650210707,3.46E+11,222.11,200.82,7810
2020-11-22,18642.23,18688.97,17671.38,18370,41280434226,3.41E+11,222.11,200.82,7810
2020-11-23,18370.02,18711.43,18000.8,18364.12,42741112308,3.41E+11,220.76,200.82,8190
